2023-02-08 09:08:16.621 [main.py] INFO    | 進入VG主頁
2023-02-08 09:08:19.392 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:08:20.843 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:09:19.892 [face_api.py] INFO    | 進入人臉註冊頁
2023-02-08 09:09:30.825 [face_backend.py] INFO    | 人臉:註冊人臉資料 建檔成功
2023-02-08 09:09:38.668 [face_api.py] INFO    | 進入人臉註冊頁
2023-02-08 09:09:43.157 [face_api.py] INFO    | 進入人臉模型訓練頁
2023-02-08 09:09:48.773 [face_api.py] INFO    | 執行人臉模型訓練
2023-02-08 09:09:48.900 [face_backend.py] INFO    | 人臉:人臉模型訓練subprocess啟動
2023-02-08 09:09:48.902 [face_backend.py] INFO    | 人臉:訓練中...
2023-02-08 09:14:20.206 [face_backend.py] INFO    | 人臉:訓練完成
2023-02-08 09:14:22.690 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-02-08 09:14:22.692 [main.py] ERROR   | main:terminate current subprocess failed, 'Thread' object has no attribute 'terminate'
2023-02-08 09:14:22.720 [main.py] INFO    | 進入VG主頁
2023-02-08 09:14:24.812 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:14:26.949 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:14:40.196 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:14:42.245 [face_api.py] INFO    | 進入人臉模型訓練頁
2023-02-08 09:14:45.762 [face_api.py] INFO    | 進出權限人員名單 更新成功
2023-02-08 09:15:16.417 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:34:35.415 [main.py] INFO    | 進入VG主頁
2023-02-08 09:34:37.350 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:34:38.285 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:39:15.303 [main.py] INFO    | 進入VG主頁
2023-02-08 09:39:17.786 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:39:18.824 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:46:21.451 [main.py] INFO    | 進入VG主頁
2023-02-08 09:46:23.971 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:46:24.907 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:48:40.535 [main.py] INFO    | 進入VG主頁
2023-02-08 09:48:42.893 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:48:43.888 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:49:42.692 [main.py] INFO    | 進入VG主頁
2023-02-08 09:49:45.242 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:49:45.925 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 09:53:28.533 [main.py] INFO    | 進入VG主頁
2023-02-08 09:53:30.818 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 09:53:31.814 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:04:18.629 [main.py] INFO    | 進入VG主頁
2023-02-08 10:04:20.720 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:04:21.617 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:07:17.966 [main.py] INFO    | 進入VG主頁
2023-02-08 10:07:20.035 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:07:21.122 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:11:15.923 [main.py] INFO    | 進入VG主頁
2023-02-08 10:11:17.786 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:11:18.732 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:15:50.453 [main.py] INFO    | 進入VG主頁
2023-02-08 10:15:52.786 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:15:53.749 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:16:14.956 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:19:00.908 [main.py] INFO    | 進入VG主頁
2023-02-08 10:19:02.563 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:19:03.357 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:34:28.268 [main.py] INFO    | 進入VG主頁
2023-02-08 10:34:30.335 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:34:31.281 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:34:58.184 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:35:13.225 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:35:54.566 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:36:04.925 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:39:17.865 [main.py] INFO    | 進入VG主頁
2023-02-08 10:39:30.333 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:39:31.155 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:41:11.086 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:51:13.241 [main.py] INFO    | 進入VG主頁
2023-02-08 10:51:15.129 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:51:15.863 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:51:52.219 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 10:58:33.914 [main.py] INFO    | 進入VG主頁
2023-02-08 10:58:36.152 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 10:58:37.087 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 10:58:56.816 [face_backend.py] INFO    | 人臉:收到[UNLOCK_DOOR]的signal
2023-02-08 11:08:13.798 [main.py] INFO    | 進入VG主頁
2023-02-08 11:08:15.841 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:08:16.790 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:15:16.460 [main.py] INFO    | 進入VG主頁
2023-02-08 11:15:18.793 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:15:19.493 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:17:53.304 [main.py] INFO    | 進入VG主頁
2023-02-08 11:17:55.167 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:17:55.973 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:20:21.553 [main.py] INFO    | 進入VG主頁
2023-02-08 11:20:23.584 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:20:24.398 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:22:41.356 [main.py] INFO    | 進入VG主頁
2023-02-08 11:22:43.051 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:22:44.050 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:24:40.652 [main.py] INFO    | 進入VG主頁
2023-02-08 11:24:43.489 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-02-08 11:24:44.416 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-02-08 11:30:13.246 [main.py] INFO    | 進入VG主頁
2023-02-08 11:30:15.210 [face_backend.py] INFO    | 人臉: subprocess啟動
